scores,avg_score
-41.8707203959356,-41.4216204624854
-42.1408656870517,-41.4246441269696
-42.1400784280373,-41.4342046507681
-41.8238751358109,-41.4434298998067
-41.0183570912472,-41.4515850943504
-41.1289956091216,-41.4530998261416
-41.4893866137542,-41.4570160121856
-42.0134400458664,-41.465356114572
-41.357920321969,-41.4787620010668
-42.1877568712483,-41.4823457606457
-41.9591822012642,-41.4931369905574
-41.6533281293866,-41.497430277
-41.4508709271042,-41.4949761312127
-41.6227962675442,-41.501880661185
-41.9303542993429,-41.502938055487
-41.7740043783781,-41.510689191566
-41.7469875927238,-41.5224423516609
-41.9011639979377,-41.5221975578205
-41.5718831661532,-41.5269029728854
-41.4866797828469,-41.5305467494325
-41.5577679927968,-41.5309136428853
-41.5803384748447,-41.534020443508
-41.4497363546278,-41.5371227663827
-41.7495618158691,-41.5361069868268
-41.6656592372485,-41.5437723346055
-41.4306733007723,-41.5533135059512
-41.403142651879,-41.5604205032073
-41.7159769214307,-41.5648282965341
-41.4135639639644,-41.5717044526447
-41.995779467152,-41.5736927759448
-41.5622974348309,-41.5787993404573
-40.8526621660878,-41.5800043446587
-40.943080666494,-41.5780999377233
-40.9732327814632,-41.5734846159538
-41.0535242851972,-41.5714158969953
-41.9686849250262,-41.5716364323477
-41.643775621097,-41.5807276178226
-41.7367538491904,-41.5846271150735
-42.0747896934071,-41.5854149102079
-41.6842610284362,-41.5966557931398
-41.5112174459544,-41.6016903885719
-41.8913507107282,-41.601447757565
-41.2989222753737,-41.6088467435633
-41.6706854066165,-41.6086587917305
-41.4110120440925,-41.6082664684874
-41.0802288616999,-41.6059316235544
-41.4108324231734,-41.6110552314296
-41.3684321925452,-41.6081891461269
-41.837540046811,-41.604524821915
-40.8949355245015,-41.6040154009605
-42.0406321966758,-41.600059533835
-40.9498786415313,-41.6050890104827
-41.6215871933497,-41.5929374318508
-41.3728109480877,-41.5901522974751
-42.0945344941813,-41.5908689791169
-41.6492797288282,-41.5941064929087
-41.7105713345967,-41.5952901660407
-40.7419213198528,-41.5938456671039
-41.5734878903022,-41.5825618651999
-41.9422484854361,-41.5905279668981
-41.2608235445114,-41.5927096150254
-42.1191333347107,-41.5901798541686
-41.2454498495581,-41.6001134863278
-42.0297245281857,-41.5950016720561
-42.0293350540218,-41.6015511386909
-41.7062343632066,-41.6020401844134
-41.5346062604884,-41.5996041314761
-41.6820174338619,-41.5951720060479
-41.7166941843246,-41.5964897328786
-41.7224533212258,-41.5902654840434
-41.120523757472,-41.5848719654599
-42.2661956941347,-41.5834488401013
-41.3351407148236,-41.5930127335788
-41.4477499306347,-41.5891201770448
-41.5159882117413,-41.5877122080226
-42.1968921655507,-41.591283323439
-41.8797035728357,-41.5965375736789
-41.3278183961562,-41.598644000084
-41.9903204395965,-41.5951485305254
-41.6792959070614,-41.5945088815431
-42.0119043630013,-41.6007062785176
-41.2089252859154,-41.6044067607182
-41.9846167519263,-41.5965244509315
-41.7407697058828,-41.5971093607644
-41.5822495060237,-41.5991464713247
-41.8732344688681,-41.5928658368145
-42.1341270353193,-41.6039156402379
-41.1505868910963,-41.610292043999
-41.5409569734264,-41.6061226431099
-41.6995384928658,-41.6086218815216
-41.2021971844655,-41.6046662407978
-41.8157900382372,-41.5969409091848
-41.4992224146749,-41.5989405349398
-41.0130153728369,-41.6005193917003
-41.5127667108898,-41.5982714264041
-41.7703701728472,-41.5955385467636
-41.1162606797836,-41.5981727473945
-42.3869390062063,-41.5969852337295
-41.9043170344731,-41.6062296458469
-41.9864045977757,-41.6141674708827
