scores,avg_score
-152.263184109409,-139.311265028427
-127.303925438197,-139.352018900305
-102.432619086016,-139.119824589835
-102.633483213311,-138.729285690888
-107.444066410588,-138.299148626037
-105.582432246031,-138.067463773712
-104.824345044936,-137.792707970644
-100.468286709911,-137.418869944535
-100.396059596752,-137.20727385812
-103.955683461771,-137.060208723287
-99.0832554737524,-136.98795335723
-96.9371691628835,-136.901952869449
-96.5664767638161,-136.510223484288
-90.9301639754298,-136.200940409112
-78.2690631318676,-135.783183854167
-88.3819898435859,-135.272082251865
-87.1186059073319,-134.74025652476
-96.2192695544698,-134.191935177595
-85.6898086910027,-133.703552881112
-96.1424590319028,-133.186733056478
-79.3513073663489,-132.81293884446
-89.6995928594115,-132.188697208249
-86.5506631515366,-131.627414559331
-99.0703619630435,-131.113294667246
-88.9699318960538,-130.75927293057
-96.2685702037975,-130.369952920741
-92.3434102488464,-130.014792434665
-91.9647311227765,-129.486324149686
-95.9923467112996,-129.017319853135
-96.8493491307059,-128.68163069376
-95.4864696059564,-127.922502251712
-91.9738283538712,-127.14709392932
-91.8717636038686,-126.49327401898
-97.7278696076809,-125.779620679062
-100.292248102832,-125.116389750831
-97.7128840804974,-124.379138204193
-105.577600993125,-123.702974920294
-97.0325151804972,-123.069787507852
-97.2998040727183,-122.422507088712
-98.0751987395536,-121.660595005629
-95.7990552274535,-120.910315509612
-103.078973290321,-120.277322423684
-94.8842031745156,-119.671079423139
-95.4934674848555,-118.983563140463
-96.5542907545667,-118.273633154561
-87.6011040078932,-117.628145524487
-97.0790994885451,-116.752614901417
-95.2338373939704,-116.084846996456
-97.8938158529277,-115.376700799634
-95.7598070416697,-114.762030011645
-103.181275584045,-114.088079331571
-100.337722745224,-113.419521770776
-99.0179526945358,-112.811318823167
-97.8738884338433,-112.173634028664
-101.541805035126,-111.531153052425
-108.971707967068,-110.85433310168
-100.738049732471,-110.229618172567
-115.96503195298,-109.634811612376
-104.325788130892,-109.152785487678
-92.4405536803117,-108.718206214706
-112.854839841047,-108.437351016731
-100.122712369547,-108.440617701494
-101.456491974896,-108.234221628507
-98.9988438043023,-108.036060243378
-95.9303090293497,-107.809018184263
-105.293890935673,-107.460708626584
-90.655057678921,-107.231032802837
-94.9712453670904,-106.915704458578
-95.6627475248159,-106.670127181976
-93.9697350112254,-106.420227813488
-90.9727093592715,-106.142565671967
-102.612436055998,-105.864869019484
-91.766723938321,-105.65731904972
-102.115987930196,-105.37124591062
-95.0171028531867,-105.128320250785
-104.970766594163,-104.730960473643
-93.1202624934059,-104.487464475298
-97.5663989388981,-104.117702001007
-100.745478271574,-104.080486089142
-97.0575783521868,-104.062499413328
-101.525025931203,-104.085535796208
-99.6948188573127,-104.141089335867
-101.789059559791,-104.080857057183
-93.7422897084264,-104.085550748595
-102.312473982072,-104.017893921342
-108.325373978873,-104.092898509464
-93.681339962626,-104.038677663249
-91.8690456373313,-103.629005222372
-100.729934565306,-103.134535716421
-100.205511098725,-102.673290623022
-103.158629022595,-102.401724395795
-96.5183370311525,-102.10132180323
-94.7781913440665,-101.823919476614
-99.2370475391313,-101.397653160895
-98.0954355617023,-101.034383507345
-109.287072778118,-100.650857072783
-104.469733868111,-100.368119241982
-104.013142717165,-100.043251267525
-100.474136636103,-99.6119721132182
-92.6908360942433,-99.1221107446862
-104.652162354297,-98.5898297771872
-100.375569947037,-98.1137195596361
-102.257657129201,-97.8444360047245
-100.829944929655,-97.8426863851563
-92.2084217322521,-97.8246510023198
-94.011529684124,-97.6722945555364
-97.7832774833555,-97.5565855299173
-89.7048908800501,-97.4861748543015
-101.580010825074,-97.3785408960029
-95.7422773937585,-97.3903804082861
-92.5783507030321,-97.308246347606
-82.4000683471576,-97.2431972998988
-87.3634944166179,-97.0978262917415
-95.8562777820394,-97.0057964682696
-101.036421802638,-97.0550576063357
-96.1566332444426,-97.2827311930434
-87.6586320116555,-97.3604776270519
-99.0738381268582,-97.3658778880952
-102.989145113448,-97.3944235738191
-101.921247575312,-97.5674169380435
-94.8966179163799,-97.6252048234776
-96.8511720596414,-97.7806579289779
-105.982889911641,-97.8521737209802
-100.114100669187,-98.0464959885813
-98.6535890513575,-98.0569333756427
-109.110002934237,-98.1537699471958
-95.5024440841497,-98.2821842745001
-104.427117622228,-98.3137746128532
-99.5408637795263,-98.4383984778477
-101.41894203373,-98.47388364853
-105.527478837795,-98.5195795775602
-94.897688394921,-98.6199896698786
-97.4403360930993,-98.6492282702891
-105.58485521852,-98.7049139951814
-102.874529135611,-98.7834838512898
-98.2188671766856,-98.8093066616176
-108.878507422917,-98.8143664925795
-99.0828252202222,-98.8473755568774
-95.4440378126164,-98.8678786572747
-90.3288496317568,-98.8493209946736
-96.6361206642918,-98.7718575035957
-96.4775765882711,-98.780228157964
-92.9945177146706,-98.7142141909436
-93.6441357678502,-98.6953173363451
-92.6034921513707,-98.6768240191751
-85.9350133368552,-98.6373160331431
-80.1800414331804,-98.6206551264327
-86.7561882815453,-98.4516645458791
-86.1254193792773,-98.3668880547548
-87.8443443570344,-98.2492040900183
-83.9084157203358,-98.1700494631719
-87.7357446602243,-97.9773208645348
-97.9070183822172,-97.8513010836848
-89.6078778751137,-97.8401917405616
-85.7157267706156,-97.7575316349744
-94.5442028257485,-97.5992708523292
-76.876587279348,-97.4549958009161
-83.6563466132396,-97.2163811763848
-77.7591315641647,-96.8932943229875
-78.9816964693573,-96.6276277573202
-95.8032516525613,-96.4930391852106
-78.784047007382,-96.3225233033257
-97.2286524236257,-96.1091366497041
-73.3191754013174,-96.0668582541914
-78.1878364222708,-95.8100615701616
-73.5034468168749,-95.6326368440908
-78.157928370104,-95.3147324029028
-78.9138785033722,-95.1897611098146
-77.3691844603843,-95.0291874411774
-82.7743324411434,-94.8462518105331
-83.1724767367988,-94.7342977848323
-75.7530895917703,-94.6562954586076
